Date,Close
13-Oct-20,11934.5
14-Oct-20,11971.05
15-Oct-20,11680.35
16-Oct-20,11762.45
19-Oct-20,11873.05
20-Oct-20,11896.8
21-Oct-20,11937.65
22-Oct-20,11896.45
23-Oct-20,11930.35
26-Oct-20,11767.75
27-Oct-20,11889.4
28-Oct-20,11729.6
29-Oct-20,11670.8
30-Oct-20,11642.4
02-Nov-20,11669.15
03-Nov-20,11813.5
04-Nov-20,11908.5
05-Nov-20,12120.3
06-Nov-20,12263.55
09-Nov-20,12461.05
10-Nov-20,12631.1
11-Nov-20,12749.15
12-Nov-20,12690.8
13-Nov-20,12719.95
14-Nov-20,12780.25
17-Nov-20,12874.2
18-Nov-20,12938.25
19-Nov-20,12771.7
20-Nov-20,12859.05
23-Nov-20,12926.45
24-Nov-20,13055.15
25-Nov-20,12858.4
26-Nov-20,12987
27-Nov-20,12968.95
01-Dec-20,13109.05
02-Dec-20,13113.75
03-Dec-20,13133.9
04-Dec-20,13258.55
07-Dec-20,13355.75
08-Dec-20,13392.95
09-Dec-20,13529.1
10-Dec-20,13478.3
11-Dec-20,13513.85
14-Dec-20,13558.15
15-Dec-20,13567.85
16-Dec-20,13682.7
17-Dec-20,13740.7
18-Dec-20,13760.55
21-Dec-20,13328.4
22-Dec-20,13466.3
23-Dec-20,13601.1
24-Dec-20,13749.25
28-Dec-20,13873.2
29-Dec-20,13932.6
30-Dec-20,13981.95
31-Dec-20,13981.75
01-Jan-21,14018.5
04-Jan-21,14132.9
05-Jan-21,14199.5
06-Jan-21,14146.25
07-Jan-21,14137.35
08-Jan-21,14347.25
11-Jan-21,14484.75
12-Jan-21,14563.45
13-Jan-21,14564.85
14-Jan-21,14595.6
15-Jan-21,14433.7
18-Jan-21,14281.3
19-Jan-21,14521.15
20-Jan-21,14644.7
21-Jan-21,14590.35
22-Jan-21,14371.9
25-Jan-21,14238.9
27-Jan-21,13967.5
28-Jan-21,13817.55
29-Jan-21,13634.6
01-Feb-21,14281.2
02-Feb-21,14647.85
03-Feb-21,14789.95
04-Feb-21,14895.65
05-Feb-21,14924.25
08-Feb-21,15115.8
09-Feb-21,15109.3
10-Feb-21,15106.5
11-Feb-21,15173.3
12-Feb-21,15163.3
15-Feb-21,15314.7
16-Feb-21,15313.45
17-Feb-21,15208.9
18-Feb-21,15118.95
19-Feb-21,14981.75
22-Feb-21,14675.7
23-Feb-21,14707.8
24-Feb-21,14982
25-Feb-21,15097.35
26-Feb-21,14529.15
01-Mar-21,14761.55
